id,artist,title,year
13286883,Vampire Weekend,Giving Up The Gun,2010
11616466,Vampire Weekend,Mansard Roof,2007
13888049,Vampire Weekend,Vampire Weekend,2009
15164108,Vampire Weekend,Modern Vampires Of The City,2013
12502205,Vampire Weekend,iTunes Session,2010
1233721,Vampire Weekend,Vampire Weekend,2007
2477064,Vampire Weekend,Giving Up The Gun,2010
16206004,Vampire Weekend,Harmony Hall,2020
1540561,Vampire Weekend,A-Punk,2008
4567140,Vampire Weekend,Modern Vampires Of The City,2013
